,open,high,low,close,volume
2015-02-26,0.0025,0.0025,0.0025,0.0025,19.0
2015-03-03,0.0022,0.0114,0.0022,0.0023,28009.0
2015-03-04,0.009,0.0101,0.009,0.0096,183.0
2015-03-05,0.0113,0.0115,0.0113,0.0115,2289.0
2015-03-06,0.011,0.011,0.011,0.011,2.0
2015-03-11,0.0111,0.0111,0.0111,0.0111,90.0
2015-03-14,0.011,0.011,0.011,0.011,5589.0
2015-04-08,0.0115,0.0115,0.0115,0.0115,1.0
2015-04-09,0.0036,0.0115,0.0036,0.0115,8.0
2015-04-20,0.004,0.004,0.0036,0.0036,113.0
2015-04-22,0.0114,0.0114,0.0036,0.004,1001.0
2015-04-27,0.0114,0.0114,0.004,0.004,1.0
2015-04-29,0.005,0.0114,0.005,0.0114,1.0
2015-05-02,0.0114,0.0114,0.005,0.005,1.0
2015-05-12,0.0045,0.0045,0.0045,0.0045,341.0
2015-05-16,0.0114,0.0114,0.0114,0.0114,179.0
2015-05-17,0.0114,0.0114,0.0045,0.0114,4.0
2015-05-18,0.0114,0.0114,0.0045,0.0045,3.0
2015-05-26,0.0063,0.0063,0.0063,0.0063,98.0
2015-05-27,0.0063,0.007,0.0063,0.007,945.0
2015-05-29,0.009,0.009,0.0049,0.0049,1402.0
2015-05-31,0.0114,0.0114,0.0114,0.0114,949.0
2015-06-01,0.0078,0.0086,0.0078,0.0078,675.0
2015-06-02,0.0075,0.0086,0.0075,0.0086,832.0
2015-06-03,0.0081,0.0083,0.0075,0.008,8318.0
2015-06-04,0.0084,0.0084,0.0084,0.0084,221.0
2015-06-05,0.0075,0.0075,0.0075,0.0075,54.0
2015-06-13,0.0086,0.0086,0.0086,0.0086,453.0
2015-06-15,0.0086,0.0088,0.0086,0.0088,1726.0
2015-06-17,0.0114,0.0114,0.0114,0.0114,72.0
2015-06-19,0.0114,0.0114,0.0114,0.0114,1074.0
2015-06-21,0.0089,0.0089,0.0089,0.0089,329.0
2015-06-22,0.011,0.011,0.011,0.011,189.0
2015-06-24,0.011,0.011,0.011,0.011,134.0
2015-06-25,0.011,0.011,0.011,0.011,1203.0
2015-06-26,0.0114,0.0115,0.0114,0.0114,1087.0
2015-06-27,0.0115,0.0115,0.0115,0.0115,1297.0
2015-07-01,0.0086,0.0086,0.0086,0.0086,72.0
2015-07-05,0.0125,0.0125,0.0125,0.0125,1.0
2015-07-06,0.0087,0.0087,0.0087,0.0087,391.0
2015-07-07,0.0122,0.0122,0.0087,0.0087,1.0
2015-07-08,0.0113,0.0113,0.0113,0.0113,1422.0
2015-07-09,0.0087,0.0087,0.0087,0.0087,935.0
2015-07-12,0.011,0.011,0.011,0.011,281.0
2015-07-23,0.0055,0.0055,0.0055,0.0055,1.0
2015-08-05,0.0095,0.0095,0.009,0.009,1000.0
2015-08-10,0.0055,0.0055,0.0055,0.0055,279.0
2015-08-18,0.0081,0.0081,0.0081,0.0081,355.0
2015-09-01,0.0095,0.0095,0.0095,0.0095,3.0
2015-09-05,0.0095,0.0095,0.0073,0.0073,2.0
2015-09-06,0.0095,0.0095,0.0095,0.0095,104.0
2015-09-10,0.0095,0.0095,0.0073,0.0073,8.0
2015-09-11,0.0081,0.0081,0.0073,0.0073,1870.0
2015-09-12,0.0081,0.0081,0.0073,0.0073,2353.0
2015-09-20,0.0073,0.0081,0.0073,0.0073,1253.0
2015-09-21,0.0057,0.0063,0.0057,0.0063,786.0
2015-09-24,0.009,0.009,0.0067,0.0067,1040.0
2015-09-26,0.0057,0.0063,0.0057,0.0057,325.0
2015-09-29,0.0057,0.0057,0.0055,0.0055,880.0
2015-10-06,0.0055,0.0055,0.0052,0.0052,92.0
2015-10-07,0.005,0.005,0.005,0.005,2977.0
2015-10-09,0.0049,0.0053,0.0049,0.0051,1900.0
2015-10-10,0.0052,0.0052,0.0049,0.0049,1.0
2015-10-13,0.0054,0.0063,0.0051,0.0055,2163.0
2015-10-15,0.0052,0.0052,0.0052,0.0052,9.0
2015-10-16,0.0052,0.0052,0.0052,0.0052,229.0
2015-10-17,0.0051,0.006,0.0048,0.006,1862.0
