,open,high,low,close,volume,SMA_20,SMA_50,EMA_20,Bullish_Engulfing,Bearish_Engulfing,RSI,MACD,MACD_Signal,BB_upper,BB_lower,ADX,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,Rolling_Mean,Rolling_Std,day_of_week,month
2015-02-26,0.0025,0.0025,0.0025,0.0025,19.0,,,0.0025,False,False,,0.0,0.0,,,,,,,,,,,,,3,2
2015-02-27,0.0025,0.0025,0.0025,0.0025,19.0,,,0.0025,False,False,,0.0,0.0,,,,0.0025,,,,,,,,,4,2
2015-02-28,0.0025,0.0025,0.0025,0.0025,19.0,,,0.0025,False,False,,0.0,0.0,,,,0.0025,0.0025,,,,,,,,5,2
2015-03-01,0.0025,0.0025,0.0025,0.0025,19.0,,,0.0025,False,False,,0.0,0.0,,,,0.0025,0.0025,0.0025,,,,,,,6,3
2015-03-02,0.0025,0.0025,0.0025,0.0025,19.0,,,0.0025,False,False,,0.0,0.0,,,,0.0025,0.0025,0.0025,0.0025,,,,,,0,3
2015-03-03,0.0022,0.0114,0.0022,0.0023,28009.0,,,0.002480952380952381,False,False,,-1.5954415954415758e-05,-3.1908831908831517e-06,,,,0.0025,0.0025,0.0025,0.0025,0.0025,,,,,1,3
2015-03-04,0.009,0.0101,0.009,0.0096,183.0,,,0.0031589569160997734,False,False,,0.0005540636845480151,0.0001082600303568965,,,,0.0023,0.0025,0.0025,0.0025,0.0025,0.0025,,,,2,3
2015-03-05,0.0113,0.0115,0.0113,0.0115,2289.0,,,0.003953341971709319,False,False,,0.001145911897938261,0.00031579040387316943,,,,0.0096,0.0023,0.0025,0.0025,0.0025,0.0025,0.0025,,,3,3
2015-03-06,0.011,0.011,0.011,0.011,2.0,,,0.004624452260117955,False,False,,0.0015566657756891575,0.000563965478236367,,,,0.0115,0.0096,0.0023,0.0025,0.0025,0.0025,0.0025,,,4,3
2015-03-07,0.011,0.011,0.011,0.011,2.0,,,0.005231647282963864,False,False,,0.0018607417109562227,0.0008233207247803382,,,,0.011,0.0115,0.0096,0.0023,0.0025,0.0025,0.0025,,,5,3
